layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
6,Conv2d,0.08008492911118567,3,768,256.0,3.9058771429786523,1.4047591623715754,0.994416038439093,True,2.289036273956299,conv2d,2.7255076851021167,2.5731808472779027,0.3596526749175462,atom.vision.vit.embeddings.patch_embeddings.projection,768,374.26640643924475,768,122,0,256,0.26308575504747456,2.289036273956299,163.50392114685644,success,1.512956142425537,0.8202691078186035,,0,2.289036273956299,0.8793409466743469
13,Linear,0.0586387003329818,768,768,1.0,1.4024501846677977,3.2589816380315946,0.7092744926041604,True,210.75462341308594,dense,4.415127793674296,3.6561502963109183,2.3237771107025513,atom.vision.vit.encoder.layer.0.attention.attention.query,768,4530.543413131515,768,333,9,1,0.022054134266746656,210.75462341308594,21.496768800423904,success,14.517390251159668,3.0930856155464426e-05,over-trained,7,210.75462341308594,0.14542342722415924
14,Linear,0.049196392562534746,768,768,1.0,1.4237657890324442,3.5933771938670183,0.7003682909472244,True,334.08282470703125,dense,4.466426242496248,3.6518158940594834,2.523854149009289,atom.vision.vit.encoder.layer.0.attention.attention.key,768,4485.5519828537945,768,336,10,1,0.023118319109212655,334.08282470703125,13.426466885232216,success,18.27793312072754,5.349792627384886e-05,over-trained,7,334.08282470703125,0.1576537787914276
15,Linear,0.06631272253837006,768,768,1.0,3.890452709909764,5.437971358190564,0.8573885408778457,True,24.99041175842285,dense,5.656771153213105,2.852908539902286,1.39777341190627,atom.vision.vit.encoder.layer.0.attention.attention.value,768,712.7029228931667,768,34,1,1,0.4957085501708551,24.99041175842285,28.51905481921301,success,4.9990410804748535,0.00022723291476722807,,1,24.99041175842285,5.450929164886475
18,Linear,0.047673821538938066,768,768,1.0,4.306833002028929,5.9747634626265755,0.8678768222146205,True,24.393571853637695,dense,6.21426886973138,2.8822261136849887,1.3872753969823979,atom.vision.vit.encoder.layer.0.attention.output.dense,768,762.4758867211197,768,24,1,1,0.6750044599638972,24.393571853637695,31.257246429346317,success,4.9389848709106445,5.524292282643728e-05,,2,24.393571853637695,7.005745887756348
21,Linear,0.03081549073766543,768,3072,4.0,2.9652073881461325,8.190512095102832,0.8281415858816574,True,578.36962890625,dense,8.282986442005932,3.8181147868843763,2.7622054794027733,atom.vision.vit.encoder.layer.0.intermediate.dense,768,6578.316836152226,768,48,0,1,0.28365325363990274,578.36962890625,11.373897430597154,success,24.04931640625,0.24024598300457,,0,578.36962890625,35.30045700073242
24,Linear,0.039464043758117406,768,3072,4.0,3.420699858075297,6.753071210380287,0.8942792313648912,True,94.22762298583984,dense,7.153474065908823,3.4664590182603034,1.97417823561404,atom.vision.vit.encoder.layer.0.output.dense,768,2927.2446319907904,768,46,0,1,0.35691272233850363,94.22762298583984,31.065674154071413,success,9.707091331481934,0.3926853835582733,,0,94.22762298583984,16.194883346557617
31,Linear,0.09943890711705139,768,768,1.0,1.4850943882124052,2.8869359366927094,0.7814654209639788,True,87.89031982421875,dense,4.183510684270275,3.4610858820852908,1.943941044829944,atom.vision.vit.encoder.layer.1.attention.attention.query,768,2891.251573176069,768,281,3,1,0.028938305062868295,87.89031982421875,32.8961321219287,success,9.374983787536621,6.153313734102994e-05,over-trained,3,87.89031982421875,0.46154770255088806
32,Linear,0.07315335742387663,768,768,1.0,2.215267260792545,4.519928652348187,0.7585147853539935,True,109.73714447021484,dense,5.467659498750891,3.4419638025756676,2.040353654994709,atom.vision.vit.encoder.layer.1.attention.attention.key,768,2766.7110369390552,768,59,4,1,0.15821432123323034,109.73714447021484,25.21216540029437,success,10.475549697875977,0.00020508169836830348,,4,109.73714447021484,12.895567893981934
33,Linear,0.06994896283758101,768,768,1.0,3.8504191175470885,5.505548692160575,0.8831243496746971,True,26.90648651123047,dense,5.698272380645328,2.9401782042254228,1.4298569906509002,atom.vision.vit.encoder.layer.1.attention.attention.value,768,871.3210461207559,768,43,1,1,0.43468484027465565,26.90648651123047,32.3833082315328,success,5.187146186828613,0.0004066159308422357,,2,26.90648651123047,5.47628116607666
36,Linear,0.043894723409770214,768,768,1.0,4.358741201086776,6.138843135235328,0.9084265567279781,True,25.60932731628418,dense,6.204007941779989,2.9458253089936117,1.408398170945482,atom.vision.vit.encoder.layer.1.attention.output.dense,768,882.7247609888889,768,42,1,1,0.5182650189833897,25.60932731628418,34.468877299545134,success,5.060565948486328,3.9198312151711434e-05,,1,25.60932731628418,4.779691219329834
39,Linear,0.043497130173435816,768,3072,4.0,3.384860456615588,9.020677827562682,0.886226633126178,True,462.3887939453125,dense,9.042359469329153,3.822111761119958,2.665007300354758,atom.vision.vit.encoder.layer.1.intermediate.dense,768,6639.138996839523,768,42,0,1,0.36799195764790943,462.3887939453125,14.358347528691938,success,21.50322723388672,0.37513765692710876,,0,462.3887939453125,35.401832580566406
42,Linear,0.04559871587329628,768,3072,4.0,4.277183159021684,8.501694263572757,0.9333229523754113,True,97.20426940917969,dense,8.626264677802927,3.5467696830830127,1.987685340441989,atom.vision.vit.encoder.layer.1.output.dense,768,3521.840497493744,768,18,0,1,0.7724394783115281,97.20426940917969,36.23133550511673,success,9.859222412109375,0.4242788255214691,,0,97.20426940917969,25.917097091674805
49,Linear,0.09075937682506574,768,768,1.0,1.9761604346146546,3.335414997645966,0.8437401712361552,True,48.73332214355469,dense,4.581590160002774,3.3492008387800682,1.6878260181827605,atom.vision.vit.encoder.layer.2.attention.attention.query,768,2234.605373560034,768,149,1,1,0.07997017875840648,48.73332214355469,45.85374596415803,success,6.980925559997559,0.00033795885974541306,over-trained,1,48.73332214355469,3.4665095806121826
50,Linear,0.06707643656984985,768,768,1.0,2.44669088337349,4.526087692162786,0.8252485284182999,True,70.77523040771484,dense,5.381431547550075,3.3404734167042354,1.8498812918786987,atom.vision.vit.encoder.layer.2.attention.attention.key,768,2190.1477643625494,768,67,2,1,0.17674142137707166,70.77523040771484,30.94511669896044,success,8.412801742553711,4.428239481057972e-05,,2,70.77523040771484,9.183917045593262
51,Linear,0.06177070189245615,768,768,1.0,5.273119624947962,7.478186795795564,0.8804907603677823,True,26.192157745361328,dense,7.820741211860223,3.07274542696874,1.418171277665517,atom.vision.vit.encoder.layer.2.attention.attention.value,768,1182.3482882873423,768,18,0,1,1.0071839545406736,26.192157745361328,45.1413090812168,success,5.117827415466309,0.0005644626216962934,,2,26.192157745361328,11.281440734863281
54,Linear,0.06304411694504963,768,768,1.0,6.398345367817506,9.109825604019669,0.9155879634618251,True,26.53251075744629,dense,9.128235409913243,3.070833035503816,1.4237783489838491,atom.vision.vit.encoder.layer.2.attention.output.dense,768,1177.1533299663965,768,17,0,1,1.3092910679456116,26.53251075744629,44.3664506811151,success,5.15097188949585,0.001015768270008266,under-trained,0,26.53251075744629,8.560347557067871
57,Linear,0.055491285343298835,768,3072,4.0,3.5320201776080564,9.012308095680787,0.9167922345171602,True,356.1242370605469,dense,9.03868984829746,3.8253546770610876,2.5516015318417784,atom.vision.vit.encoder.layer.2.intermediate.dense,768,6688.899596840143,768,53,0,1,0.3477997195257024,356.1242370605469,18.782489088780896,success,18.871253967285156,0.393871933221817,,0,356.1242370605469,29.214181900024414
60,Linear,0.03539943223768538,768,3072,4.0,4.063884527776372,7.950457229369566,0.9556105648579728,True,90.44173431396484,dense,8.085162983156565,3.5445251801273487,1.9563688817998486,atom.vision.vit.encoder.layer.2.output.dense,768,3503.686018690467,768,28,0,1,0.5790197504510607,90.44173431396484,38.73970402344963,success,9.510086059570312,0.4187861979007721,,0,90.44173431396484,18.923030853271484
67,Linear,0.0941134500828083,768,768,1.0,2.384495074736222,3.6530556863610255,0.8796971082018655,True,34.04112243652344,dense,4.828589127198764,3.2797262885498193,1.5320038716226472,atom.vision.vit.encoder.layer.3.attention.attention.query,768,1904.260191311636,768,113,1,1,0.1302423408978672,34.04112243652344,55.939994189748425,success,5.834476947784424,6.887081690365449e-05,,2,34.04112243652344,5.014328956604004
68,Linear,0.06878835309021891,768,768,1.0,2.3493789550070425,4.112896507068112,0.8596793488798492,True,56.31594467163086,dense,4.939658779430091,3.2763416504141865,1.7506313735817827,atom.vision.vit.encoder.layer.3.attention.attention.key,768,1889.4771768856142,768,112,1,1,0.12750432640474463,56.31594467163086,33.551371426029505,success,7.504395008087158,0.00010125683184014633,,2,56.31594467163086,4.830611705780029
69,Linear,0.0957134515507328,768,768,1.0,7.7596163614345715,11.180814634184731,0.8858399106777379,True,27.599287033081055,dense,11.356109860337035,3.1421892264959737,1.4408978631667377,atom.vision.vit.encoder.layer.3.attention.attention.value,768,1387.360184057275,768,10,0,1,2.137578381107321,27.599287033081055,50.26797186443105,success,5.253502368927002,0.0006030770018696785,under-trained,1,27.599287033081055,16.130590438842773
72,Linear,0.04913764611193994,768,768,1.0,5.497908033169024,8.286142774217112,0.9278389642370667,True,32.14731216430664,dense,8.305636580716396,3.1239880776226667,1.5071446674310653,atom.vision.vit.encoder.layer.3.attention.output.dense,768,1330.4178944611403,768,27,0,1,0.8656228045801053,32.14731216430664,41.38504294422199,success,5.669859886169434,0.0007179999956861138,,1,32.14731216430664,7.686788082122803
75,Linear,0.054279660676667896,768,3072,4.0,3.688197849690021,9.547337519839353,0.9294433785561044,True,387.80963134765625,dense,9.558519097818046,3.8314302504602664,2.5886185906869854,atom.vision.vit.encoder.layer.3.intermediate.dense,768,6783.131717711687,768,31,0,1,0.4828145867013031,387.80963134765625,17.490879981861188,success,19.692882537841797,0.36596760153770447,,0,387.80963134765625,34.83681106567383
78,Linear,0.04761765227189174,768,3072,4.0,4.618642824811965,9.112887227657227,0.9682563091071804,True,93.98661804199219,dense,9.183071215562459,3.607637936907773,1.973066022490759,atom.vision.vit.encoder.layer.3.output.dense,768,4051.706115350127,768,18,0,1,0.8529222933721948,93.98661804199219,43.10939365367812,success,9.694669723510742,0.3999389111995697,,0,93.98661804199219,24.697708129882812
85,Linear,0.08596064607797,768,768,1.0,2.369696744136143,3.569857282919399,0.8909992586859259,True,32.09679412841797,dense,4.76508392360823,3.277488540825934,1.5064616566457605,atom.vision.vit.encoder.layer.4.attention.attention.query,768,1894.473526642686,768,124,1,1,0.12300239870783111,32.09679412841797,59.02376165865583,success,5.665403366088867,0.0005002008401788771,,1,32.09679412841797,4.455841064453125
86,Linear,0.07022444293971741,768,768,1.0,2.955258229276347,5.009972018677324,0.8802892792561019,True,49.576271057128906,dense,5.664072792332637,3.275358254383408,1.6952738576432673,atom.vision.vit.encoder.layer.4.attention.attention.key,768,1885.203573793351,768,57,1,1,0.25898027910942234,49.576271057128906,38.02632859621387,success,7.041041851043701,0.0003227578126825392,,1,49.576271057128906,9.001055717468262
87,Linear,0.07028712839054257,768,768,1.0,5.999957649562352,8.563488908332122,0.8929780809383799,True,26.745962142944336,dense,8.971372651759996,3.1612254576175616,1.4272582255571018,atom.vision.vit.encoder.layer.4.attention.attention.value,768,1449.5241574838956,768,15,1,1,1.2909835138998245,26.745962142944336,54.19599974519086,success,5.171649932861328,0.0004349412920419127,,1,26.745962142944336,14.197114944458008
90,Linear,0.027510243742405238,768,768,1.0,4.656174245349058,7.136889001223093,0.9339308448982496,True,34.10198211669922,dense,7.196871969742263,3.1469806399953737,1.5327796223158876,atom.vision.vit.encoder.layer.4.attention.output.dense,768,1402.7511712450155,768,39,0,1,0.5854564318974524,34.10198211669922,41.13400700418847,success,5.839690208435059,0.0020637863781303167,,0,34.10198211669922,6.861906051635742
93,Linear,0.04117718214491839,768,3072,4.0,3.4644304823676744,9.02678062153684,0.9357383508481703,True,403.2364196777344,dense,9.041583033957373,3.833151563796621,2.6055597500018886,atom.vision.vit.encoder.layer.4.intermediate.dense,768,6810.069808587432,768,39,0,1,0.39462470332251603,403.2364196777344,16.88852860569991,success,20.080747604370117,0.36657658219337463,,0,403.2364196777344,30.005712509155273
96,Linear,0.04821692707609637,768,3072,4.0,3.42568188325947,6.909801660364656,0.9801600932139445,True,104.00608825683594,dense,7.225113873890265,3.6926287954803785,2.0170587625579857,atom.vision.vit.encoder.layer.4.output.dense,768,4927.524536088109,768,68,0,1,0.29415713584782244,104.00608825683594,47.377270106726094,success,10.19833755493164,0.38904106616973877,,0,104.00608825683594,14.321362495422363
103,Linear,0.057687020977694736,768,768,1.0,6.12446283438623,10.143971670983735,0.8938243726641711,True,45.32146072387695,dense,10.278029376631881,3.2751011176702307,1.6563038988545555,atom.vision.vit.encoder.layer.5.attention.attention.query,768,1884.0877144111475,768,14,2,1,1.369570301252126,45.32146072387695,41.57164584544256,success,6.732121467590332,3.574921720428392e-05,under-trained,2,45.32146072387695,20.257999420166016
104,Linear,0.063328288677313,768,768,1.0,4.270068054096642,7.000887229005267,0.9031190337424988,True,43.60395812988281,dense,7.330213906054056,3.277002152032242,1.6395259139461995,atom.vision.vit.encoder.layer.5.attention.attention.key,768,1892.3529956800053,768,23,0,1,0.68185632422672,43.60395812988281,43.39865179310709,success,6.603329181671143,0.0016528083942830563,,0,43.60395812988281,14.180360794067383
105,Linear,0.09094638642697439,768,768,1.0,7.683978636117832,10.791528683153189,0.9041749724205139,True,25.37578010559082,dense,10.955037372431857,3.165276678731155,1.4044194022649419,atom.vision.vit.encoder.layer.5.attention.attention.value,768,1463.1089897001932,768,13,0,1,1.8538021305099004,25.37578010559082,57.657694999407695,success,5.037437915802002,0.0005871817120350897,under-trained,1,25.37578010559082,13.820926666259766
108,Linear,0.03833315449097163,768,768,1.0,4.878570062959925,7.361249300887061,0.9423741809510265,True,32.27712631225586,dense,7.412193359021513,3.156862640067361,1.5088948617908842,atom.vision.vit.encoder.layer.5.attention.output.dense,768,1435.035484336946,768,40,1,1,0.6132557731748017,32.27712631225586,44.45982800495013,success,5.681296348571777,0.00043257520883344114,,1,32.27712631225586,6.618115425109863
111,Linear,0.03105146049116342,768,3072,4.0,3.027000257953314,8.085784071662866,0.9326454424105579,True,469.05108642578125,dense,8.119843243311104,3.8413205727814748,2.671220146221598,atom.vision.vit.encoder.layer.5.intermediate.dense,768,6939.378445327282,768,89,0,1,0.21486159762028578,469.05108642578125,14.794504577755225,success,21.6575870513916,0.40704071521759033,,0,469.05108642578125,18.6903076171875
114,Linear,0.028798933977550845,768,3072,4.0,3.738304832748379,7.932549535316435,0.990242898519115,True,132.42327880859375,dense,8.116000593471835,3.776373255448793,2.121964336836724,atom.vision.vit.encoder.layer.5.output.dense,768,5975.486305788159,768,73,0,1,0.32049433899757873,132.42327880859375,45.124137988043636,success,11.50753116607666,0.37023675441741943,,0,132.42327880859375,15.724323272705078
121,Linear,0.07353046883992076,768,768,1.0,2.317466860751771,3.7676672106932423,0.9048184567826884,True,42.24444580078125,dense,4.644312203410322,3.262266835539085,1.6257696170339349,atom.vision.vit.encoder.layer.6.attention.attention.query,768,1829.2237671279022,768,163,1,1,0.1031919686196654,42.24444580078125,43.300929446542135,success,6.49957275390625,6.69780929456465e-05,,1,42.24444580078125,3.220442533493042
122,Linear,0.045716408082957904,768,768,1.0,3.944052360084981,6.23842095565264,0.9161127324241425,True,38.17057800292969,dense,6.6688304985657405,3.2676914405822024,1.5817287363594288,atom.vision.vit.encoder.layer.6.attention.attention.key,768,1852.21518597713,768,33,1,1,0.5124937338544335,38.17057800292969,48.524682697625586,success,6.178234100341797,0.00036445664591155946,,1,38.17057800292969,10.78581428527832
123,Linear,0.05850907565351127,768,768,1.0,7.6715912740688665,10.55238304825068,0.9183003550010729,True,23.741832733154297,dense,10.695974135462402,3.178714337002254,1.3755142409527634,atom.vision.vit.encoder.layer.6.attention.attention.value,768,1509.0872053661976,768,15,1,1,1.7225974598114295,23.741832733154297,63.56237205137209,success,4.872559070587158,0.00026624140446074307,under-trained,1,23.741832733154297,12.417430877685547
126,Linear,0.05050501421870124,768,768,1.0,4.9666023502309,7.354295322576571,0.9537601367564913,True,30.251699447631836,dense,7.393126818974115,3.172233668409537,1.480749777004931,atom.vision.vit.encoder.layer.6.attention.output.dense,768,1486.7353522943492,768,56,0,1,0.5300595351477259,30.251699447631836,49.145515109589454,success,5.500154495239258,0.0017840438522398472,,0,30.251699447631836,5.715451717376709
129,Linear,0.0289248680651758,768,3072,4.0,3.1369569069667307,8.42224798098111,0.9385403755390583,True,484.0013427734375,dense,8.461539872742668,3.8483484230758145,2.684846566516903,atom.vision.vit.encoder.layer.6.intermediate.dense,768,7052.586525857449,768,71,0,1,0.25361012615387846,484.0013427734375,14.571419338311188,success,22.000030517578125,0.4250476062297821,,0,484.0013427734375,20.508928298950195
132,Linear,0.02085124151767881,768,3072,4.0,4.213985870486006,8.470031378937518,0.9999872159335653,True,102.32481384277344,dense,8.73755090680537,3.841548922885266,2.0099809632158676,atom.vision.vit.encoder.layer.6.output.dense,768,6943.028099000454,768,82,0,1,0.3549253644607637,102.32481384277344,67.85282902804711,success,10.115572929382324,0.3684345781803131,,0,102.32481384277344,17.119157791137695
139,Linear,0.06655443033487474,768,768,1.0,2.427283484454033,3.8522036423059767,0.9116038133925292,True,38.64053726196289,dense,4.714505784747821,3.243177639064829,1.5870431562601144,atom.vision.vit.encoder.layer.7.attention.attention.query,768,1750.5625731742261,768,155,0,1,0.11464216825367884,38.64053726196289,45.30378450243369,success,6.216151237487793,0.000988256186246872,,1,38.64053726196289,3.3219425678253174
140,Linear,0.043140889298842994,768,768,1.0,4.063671252363697,6.498542383134159,0.9270121369015385,True,39.735633850097656,dense,6.730333726975992,3.2474764027576533,1.5991801451345704,atom.vision.vit.encoder.layer.7.attention.attention.key,768,1767.976152744084,768,38,0,1,0.49699310443590206,39.735633850097656,44.49346798930549,success,6.3036208152771,0.0013128267601132393,,0,39.735633850097656,9.093461990356445
141,Linear,0.07495101354948885,768,768,1.0,6.955337185346543,10.053220201531376,0.9261801639990693,True,27.886661529541016,dense,10.124705572592353,3.212725469334218,1.445396525521643,atom.vision.vit.encoder.layer.7.attention.attention.value,768,1632.0199726152714,768,21,0,1,1.2995611162302758,27.886661529541016,58.52331842900711,success,5.280782222747803,0.001712801749818027,under-trained,0,27.886661529541016,11.734659194946289
144,Linear,0.037541726848164036,768,768,1.0,5.720336414810748,8.429193145543548,0.9614632747118275,True,29.754215240478516,dense,8.445578563858282,3.2029657870926758,1.4735485003502928,atom.vision.vit.encoder.layer.7.attention.output.dense,768,1595.7534318130586,768,58,1,1,0.619810536526651,29.754215240478516,53.631171883241215,success,5.454742431640625,0.0004816905711777508,,1,29.754215240478516,5.817975044250488
147,Linear,0.04111224184280132,768,3072,4.0,3.3089382936807517,8.882399712946729,0.9549896348351989,True,483.4654846191406,dense,8.88772296039433,3.840529181056799,2.6843654745420613,atom.vision.vit.encoder.layer.7.intermediate.dense,768,6926.744699642062,768,92,0,1,0.240723457700392,483.4654846191406,14.327278616587781,success,21.98784828186035,0.4163668751716614,,0,483.4654846191406,17.233806610107422
150,Linear,0.031555353213414905,768,3072,4.0,5.196763284028592,10.161469238814352,1.0076864765317999,True,90.22892761230469,dense,10.286521192590708,3.9055579956625572,1.955345795727117,atom.vision.vit.encoder.layer.7.output.dense,768,8045.591821700335,768,84,0,1,0.4579044148302971,90.22892761230469,89.16865172409676,success,9.49889087677002,0.3660527467727661,,0,90.22892761230469,19.548259735107422
157,Linear,0.06138965218706183,768,768,1.0,2.5243833974261083,3.9293994887215766,0.9181844946128789,True,36.0228385925293,dense,4.803749527624717,3.2507995078959198,1.5565779321508926,atom.vision.vit.encoder.layer.8.attention.attention.query,768,1781.556121959985,768,144,0,1,0.12703194978550902,36.0228385925293,49.45629471658178,success,6.001903057098389,0.001057894784025848,,0,36.0228385925293,3.6728615760803223
158,Linear,0.05650429256892553,768,768,1.0,4.756074316679749,7.474940246598831,0.9358615287815103,True,37.29595947265625,dense,7.601720572831017,3.253174938651189,1.5716617842542762,atom.vision.vit.encoder.layer.8.attention.attention.key,768,1791.327275291989,768,20,0,1,0.8398837500636991,37.29595947265625,48.03006279018807,success,6.107041835784912,0.0011596818221732974,,0,37.29595947265625,11.073077201843262
